,restraint_number,atom_type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
6,7,CHCH2,18,21'',4.89,1.36,2.166e-05,0.99,2.81,[81],[78],4.0,2.546497906967717,2.5536569647401746,2.5608933830794363,2.54110655623893,2.536153001532484,2.5412569653618777,macrocycle
7,8,CHCH2,12,20',7.11,1.51,1.966e-05,0.98,2.85,[92],[79],6.0,4.090675359839299,3.94763604306341,4.0620572169052505,4.174615595042655,4.141570663902822,4.159189106594693,mixed
8,9,CHCH2,12,20'',7.11,1.66,1.094e-05,0.96,3.15,[92],[80],6.0,4.319707759257632,4.328817883645158,4.3074543834827566,4.3281036649059725,4.315938338534616,4.318483548933624,mixed
9,10,CHCH3,12,19,7.11,1.24,5.357e-05,0.99,2.41,[92],"[82, 83, 84]",6.0,4.069730999519207,3.7490209085518473,4.065365179454563,4.202878123817673,4.276753698567207,4.2325565427669565,mixed
10,11,CHCH3,15,30,7.38,0.52,2.534e-05,0.99,2.74,[85],"[57, 58, 59]",8.0,3.112716342003311,3.14262438252918,3.1273744235035803,3.106341867701283,3.0799138149332657,3.109846301844012,mixed
11,12,NH-CH,9,11,9.92,7.44,2.673e-05,0.99,2.71,[86],[91],4.0,2.7461371949993305,3.1028106482061126,2.676496500167516,2.712653034712523,2.639479393852844,2.742465931138921,extracyclic
12,13,NH-CH,9,12,9.92,7.11,1.86e-06,0.96,4.23,[86],[92],5.0,5.0287953077138585,5.2344282269176805,4.970643227701907,5.002840353888187,4.943167083280815,5.027639755128943,extracyclic
13,14,NH-CH,9,15,9.92,7.38,5.305e-05,0.99,2.42,[86],[85],4.0,2.3619531463621986,2.2809998677161967,2.3958360116927846,2.3757287385663344,2.413286629536349,2.360195267636566,extracyclic
14,15,NH-CH3,9,30,9.92,0.52,2.05e-06,0.99,4.16,[86],"[57, 58, 59]",10.0,4.651243796000728,4.561470925817334,4.744753344080051,4.645500275197144,4.685186513815276,4.633067400633021,mixed
15,16,CHCH2,15,6,7.38,2.55,1.3e-06,0.99,4.49,[85],"[87, 88]",6.0,4.750650951786853,4.744825617159908,4.726010602221863,4.756148115506461,4.773289911605303,4.753861790865263,extracyclic
16,17,CH2CH,31'',26,2.91,1.88,6.103e-05,0.99,2.36,[61],[56],4.0,2.728160860266424,2.7796009794809198,2.676637019365419,2.7515663580500394,2.657030845932469,2.7959710306891568,mixed
17,18,CH2CH,31',26,2.76,1.88,1.38e-05,0.97,3.03,[62],[56],4.0,3.475969714490383,3.5317431041089957,3.446583674884645,3.4464020455852573,3.4259858735027873,3.5405408607642705,mixed
18,19,CH2CH2,29'',22',3.57,1.15,8.172e-05,0.99,2.25,[73],[75],3.0,2.434516391149879,2.435198003151307,2.438797171013875,2.431982229784806,2.4327915808945026,2.4338540350138143,macrocycle
18,19,CH2CH2,29'',22',3.57,1.15,8.172e-05,0.99,2.25,[73],[76],3.0,2.4704963429235645,2.478058336115523,2.4622113931932486,2.4824651313347026,2.4627281548264417,2.4674965340256176,macrocycle
19,20,CH2CH2,29'',20'',3.57,1.66,2.479e-05,0.95,2.75,[73],[80],5.0,3.8113184460679754,3.850898530474769,3.760026311002595,3.8333422119481813,3.8150166167337685,3.8017494702928363,macrocycle
20,21,CH2CH2,29'',31',3.57,2.76,1.481e-05,0.98,2.99,[73],[62],5.0,2.8772809489780204,2.872005466697109,2.907042116906034,2.8598455864295165,2.971489778639868,2.796066531334974,mixed
21,22,CH2CH2,29',20'',3.27,1.66,0.0001121,0.99,2.13,[74],[80],5.0,2.271800352239618,2.2902163286168866,2.264534594962141,2.282293409382978,2.2606653657956697,2.262384714642559,macrocycle
22,23,CH2CH2,29',22',3.27,1.15,7.72e-05,0.99,2.27,[74],[75],3.0,2.9604934032884493,2.9433259539540297,2.9574599274155933,2.928102255180718,2.99182142316124,2.9852359877121266,macrocycle
22,23,CH2CH2,29',22',3.27,1.15,7.72e-05,0.99,2.27,[74],[76],3.0,2.45197921299201,2.4508446902326018,2.4609801175622246,2.447738571961313,2.450418837236723,2.4500647212000333,macrocycle
23,24,CH2CH2,25',21'',3.21,1.36,2.879e-05,0.97,2.68,[54],[77],8.0,2.25997904822924,2.2836237294835713,2.2687863599701172,2.2424989285518255,2.24794417559342,2.258716313431376,macrocycle
