,restraint_number,atom_type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
10,11,CHCH3,15,30,7.38,0.52,2.534e-05,0.99,2.74,[85],"[57, 58, 59]",8.0,3.0414938654896133,3.5826081059360746,3.083513062948245,2.929649355428271,2.9562085718942144,2.924060421018768,mixed
11,12,NH-CH,9,11,9.92,7.44,2.673e-05,0.99,2.71,[86],[91],4.0,2.7277904428323883,2.7971089437823897,2.60396899140959,2.528769382447877,2.740354831076207,3.3928885894326517,extracyclic
12,13,NH-CH,9,12,9.92,7.11,1.86e-06,0.96,4.23,[86],[92],5.0,4.989414717705262,5.041460996470394,4.891106789560295,4.802949992209374,4.9987857963442845,5.3103036500862455,extracyclic
13,14,NH-CH,9,15,9.92,7.38,5.305e-05,0.99,2.42,[86],[85],4.0,2.4416983823575027,2.419862478484825,2.5161152319285867,2.5871096851363373,2.4367364458168153,2.3111781087634653,extracyclic
14,15,NH-CH3,9,30,9.92,0.52,2.05e-06,0.99,4.16,[86],"[57, 58, 59]",10.0,4.549536316209189,5.248608592427639,4.603649619771226,4.630597928055732,4.399388915125147,4.24203506589425,mixed
15,16,CHCH2,15,6,7.38,2.55,1.3e-06,0.99,4.49,[85],"[87, 88]",6.0,4.794681735690498,4.804764967610263,4.785932252782702,4.7785379334745475,4.80092906488377,4.80365324138949,extracyclic
16,17,CH2CH,31'',26,2.91,1.88,6.103e-05,0.99,2.36,[61],[56],4.0,2.738126223891559,2.4817026078636175,2.7245262972657875,2.7808102546783857,2.980053223060473,2.939934661173284,mixed
17,18,CH2CH,31',26,2.76,1.88,1.38e-05,0.97,3.03,[62],[56],4.0,3.5480015370493097,3.517151470125163,3.54513219041992,3.562983694222235,3.5296305344859307,3.588181193064835,mixed
18,19,CH2CH2,29'',22',3.57,1.15,8.172e-05,0.99,2.25,[73],[75],3.0,2.4888782194400583,2.5701819292482626,2.4971071782128416,2.475788962985435,2.4641601249875693,2.4492246006204037,macrocycle
18,19,CH2CH2,29'',22',3.57,1.15,8.172e-05,0.99,2.25,[73],[76],3.0,2.449542265169212,2.421069040423836,2.458861758393756,2.4639584084415427,2.441057447146215,2.4648064120955127,macrocycle
19,20,CH2CH2,29'',20'',3.57,1.66,2.479e-05,0.95,2.75,[73],[80],5.0,3.477724858296705,3.1077643035756655,3.602822484342213,3.37920544178656,3.8967786003395037,3.861215805121134,macrocycle
20,21,CH2CH2,29'',31',3.57,2.76,1.481e-05,0.98,2.99,[73],[62],5.0,2.709088960776417,3.075208087608182,2.635777916760455,2.692710727886227,2.662618398928302,2.6253798493255402,mixed
21,22,CH2CH2,29',20'',3.27,1.66,0.0001121,0.99,2.13,[74],[80],5.0,2.3927347531162213,2.794188843818151,2.3998047202671193,2.3171780539134996,2.332890951960475,2.3063636551455886,macrocycle
22,23,CH2CH2,29',22',3.27,1.15,7.72e-05,0.99,2.27,[74],[75],3.0,2.9196498633541834,2.811815541683116,2.86552640839095,2.9381326497263043,3.015803770095266,3.004723445558628,macrocycle
22,23,CH2CH2,29',22',3.27,1.15,7.72e-05,0.99,2.27,[74],[76],3.0,2.505461375898903,2.603527188760059,2.5193184272469993,2.486180815878388,2.475110226771533,2.460416872093863,macrocycle
